Device/Package xc7a200tffg1156 4/30/2012 11:18:32                                                                                                                
                                                                                                                      
Pin   Pin Name                      Memory Byte Group  Bank               VCCAUX Group  Super Logic Region  I/O Type  No-Connect
W17   DXN_0                         NA                 0                  NA            NA                  CONFIG    NA
T18   VCCADC_0                      NA                 0                  NA            NA                  CONFIG    NA
T17   GNDADC_0                      NA                 0                  NA            NA                  CONFIG    NA
W18   DXP_0                         NA                 0                  NA            NA                  CONFIG    NA
U17   VREFN_0                       NA                 0                  NA            NA                  CONFIG    NA
V18   VREFP_0                       NA                 0                  NA            NA                  CONFIG    NA
U18   VP_0                          NA                 0                  NA            NA                  CONFIG    NA
V17   VN_0                          NA                 0                  NA            NA                  CONFIG    NA
K13   VCCBATT_0                     NA                 0                  NA            NA                  CONFIG    NA
W11   CCLK_0                        NA                 0                  NA            NA                  CONFIG    NA
AE12  TCK_0                         NA                 0                  NA            NA                  CONFIG    NA
AE13  TMS_0                         NA                 0                  NA            NA                  CONFIG    NA
AD13  TDO_0                         NA                 0                  NA            NA                  CONFIG    NA
AE14  TDI_0                         NA                 0                  NA            NA                  CONFIG    NA
V11   INIT_B_0                      NA                 0                  NA            NA                  CONFIG    NA
N11   PROGRAM_B_0                   NA                 0                  NA            NA                  CONFIG    NA
M12   CFGBVS_0                      NA                 0                  NA            NA                  CONFIG    NA
P11   DONE_0                        NA                 0                  NA            NA                  CONFIG    NA
K21   M2_0                          NA                 0                  NA            NA                  CONFIG    NA
L22   M0_0                          NA                 0                  NA            NA                  CONFIG    NA
K22   M1_0                          NA                 0                  NA            NA                  CONFIG    NA
AJ24  IO_0_12                       NA                 12                 NA            NA                  HR        NA
AL34  IO_L1P_T0_12                  0                  12                 NA            NA                  HR        NA
AM34  IO_L1N_T0_12                  0                  12                 NA            NA                  HR        NA
AJ33  IO_L2P_T0_12                  0                  12                 NA            NA                  HR        NA
AJ34  IO_L2N_T0_12                  0                  12                 NA            NA                  HR        NA
AN34  IO_L3P_T0_DQS_12              0                  12                 NA            NA                  HR        NA
AP34  IO_L3N_T0_DQS_12              0                  12                 NA            NA                  HR        NA
AK33  IO_L4P_T0_12                  0                  12                 NA            NA                  HR        NA
AL33  IO_L4N_T0_12                  0                  12                 NA            NA                  HR        NA
AN33  IO_L5P_T0_12                  0                  12                 NA            NA                  HR        NA
AP33  IO_L5N_T0_12                  0                  12                 NA            NA                  HR        NA
AL32  IO_L6P_T0_12                  0                  12                 NA            NA                  HR        NA
AM32  IO_L6N_T0_VREF_12             0                  12                 NA            NA                  HR        NA
AJ31  IO_L7P_T1_12                  1                  12                 NA            NA                  HR        NA
AK32  IO_L7N_T1_12                  1                  12                 NA            NA                  HR        NA
AM31  IO_L8P_T1_12                  1                  12                 NA            NA                  HR        NA
AN32  IO_L8N_T1_12                  1                  12                 NA            NA                  HR        NA
AJ30  IO_L9P_T1_DQS_12              1                  12                 NA            NA                  HR        NA
AK31  IO_L9N_T1_DQS_12              1                  12                 NA            NA                  HR        NA
AN31  IO_L10P_T1_12                 1                  12                 NA            NA                  HR        NA
AP31  IO_L10N_T1_12                 1                  12                 NA            NA                  HR        NA
AJ29  IO_L11P_T1_SRCC_12            1                  12                 NA            NA                  HR        NA
AK30  IO_L11N_T1_SRCC_12            1                  12                 NA            NA                  HR        NA
AL30  IO_L12P_T1_MRCC_12            1                  12                 NA            NA                  HR        NA
AM30  IO_L12N_T1_MRCC_12            1                  12                 NA            NA                  HR        NA
AL28  IO_L13P_T2_MRCC_12            2                  12                 NA            NA                  HR        NA
AL29  IO_L13N_T2_MRCC_12            2                  12                 NA            NA                  HR        NA
AJ28  IO_L14P_T2_SRCC_12            2                  12                 NA            NA                  HR        NA
AK28  IO_L14N_T2_SRCC_12            2                  12                 NA            NA                  HR        NA
AP29  IO_L15P_T2_DQS_12             2                  12                 NA            NA                  HR        NA
AP30  IO_L15N_T2_DQS_12             2                  12                 NA            NA                  HR        NA
AM29  IO_L16P_T2_12                 2                  12                 NA            NA                  HR        NA
